,Description
0,"Elle Woods wants her Chihuahua, Bruiser, to reunite with his mother, because she would like Bruiser's mom to attend Elle and Emmett's wedding. Elle hires a detective to find Bruiser's mother, only to discover that the owner of her dog's mother is C'est Magnifique, a cosmetics company that uses Bruiser's mother for ""testing"". She finds out that her law firm represents the C'est Magnifique Corporation.
Elle decides to leave Boston, where she and Bruiser have settled with her fiancé Emmett, and go to Washington, D.C., to work on Bruiser's Bill. Elle is upset that her dog's mother is in a make-up testing laboratory, and decides to take it upon herself to be the ""voice for those who can't speak"" and to outlaw animal testing.
While working for Congresswoman Victoria Rudd, Elle is met with skepticism and other barriers common to Washington politics. Rudd's member of staff, Timothy, sarcastically calls her ""Capitol Barbie"". (There has even been a Barbie doll based on Elle Woods.[4]) After a variety of ups and downs including a failed attempt to improve her work environment by having her co-workers write compliments about one another and place them in the ""snap cup"", Elle starts to lose her faith in Washington politics.
As the story moves along, Elle discovers that Bruiser is actually gay, after she is paged by ""The Paws That Refreshes: A Doggy Day Spa"". Bruiser has been affectionate with Leslie, a Rottweiller owned by Congressman Stan Marks, the Chairman of the Committee on Energy and Commerce which has jurisdiction over Bruiser's Bill. Elle also finds that Congresswoman Libby Hauser, the Ranking Member of the same committee, was a member of Elle's sorority Delta Nu. As a result, both Marks and Hauser warm to Elle and eventually come to support Bruiser's Bill.
Elle also discovers that Congresswoman Rudd has actually been working against her. Rudd has been doing so in an effort to satisfy the interests of a major campaign donor named ""Bob"" (who is never seen, but with whom Rudd has several telephone conversations). However, Rudd is eventually blackmailed into supporting Elle's petition, because Rudd's Chief of Staff, Grace Rossiter, eavesdrops on a recorded conversation during which Rudd admits to Elle that she has been working against Bruiser's Bill in order to help Rudd's sponsors who want to continue with tests on animals. As Grace is appalled that Rudd lied to Elle and blamed it on her, Grace and Elle eventually reach a place of mutual respect, especially after Grace admits she came to Washington D.C. with an enthusiasm not unlike Elle's, but later lost that idealism when she discovered how dirty politics could really be.
With the help of her friends, Elle's discharge petition is successful, and Bruiser's Bill is brought to the floor of the House. Bruiser's mother and the rest of the dogs are released by C'est Magnifique Corporation. Elle and Emmett get married in a park in D.C., albeit not at Fenway Park as they had planned, but standing on the home plate which has been delivered to D.C. by the UPS Guy.
In the final scene, Emmett asks Elle whether they want to live in Beverly Hills, Washington D.C., or Boston. As Elle has many legal and political job offers after the successful discharge hearing, she responds, ""Oh, I think I know just the place"", and winks as they drive by the White House."
1,"Thirupathi (Ajith Kumar) a straightforward young man who leads a happy life with his parents and younger sister. He happens to meet Priya (Sadha ) and both fall for each other. Thirupathi’s sister is pregnant and at the time of delivery, he takes her to a hospital. The doctor there expects bribe but when it is not forthcoming, neglects his duty because of which Thirupathi’s sister dies. Thirupathi comes to know that this is not the first instance in the hospital and the doctor is none other than Soori’s brother. When he goes out to get him, Soori and his father do all that they can to protect him from Thirupathi. How Thirupathi gets his revenge on the people responsible for his sister's death forms the rest of the movie."
2,"Jason (an advertising executive) and Julie (a charitable investment advisor), longtime best friends now in their mid-30s live in the same building in Manhattan. Not romantically involved, they are close friends with two childless married couples, the placid Alex and Leslie and the sex-obsessed Ben and Missy. During the next four years, after both couples have children, their marriages suffer. Following a chaotic birthday party for Jason at Alex and Leslie's place in Brooklyn, Jason and Julie discuss how it would be better to have children first, to 'get it out of the way' since 'time is running out', and only then meet the person that you wanted to marry. After more discussion, they decide to have a child together, despite never having had romantic feelings for each other, and then to continue to date other people, to find 'their one'. Although their friends predict disaster, Jason and Julie adjust to their new relationship with baby Joe far better than their friends had imagined.[3]
Jason and Julie begin dating again and enter into budding relationships with young actress Mary Jane and divorced father Kurt, respectively. During a couples winter getaway in Vermont, Ben calls Jason and Julie's thought process and parenting skills into question. In the ensuing argument, Ben decries their arrangement as untenable in the long term and humiliates Missy. Jason defends his decision to have a child with Julie, saying that he loves her deeply and that she was the soundest choice of person for him to start a family with.
After returning from Vermont, Ben and Missy separate and later divorce. Shortly thereafter, at Julie's birthday dinner out (about 18 months after Joe's birth), Jason is surprised to find that she invited only him. Julie tells him that Kurt wants her to meet his children that weekend but that this new degree of commitment has made her realize that she is in love with Jason, who, along with Joe, have become her closest family. A stunned Jason tells Julie that his love for her has never been romantic and has asked Mary Jane to move in with him. Heartbroken, Julie leaves the restaurant, and soon moves out of her Manhattan apartment to Brooklyn, putting some space between herself and Jason. A few months thereafter, Jason and Mary Jane break up over their differing feelings about children, and both Julie and Jason return to dating others. Several months later, at a bar with Ben, Jason confides that he does have feelings for Julie, but that their messy split makes acting on such feelings impossible. Ben disagrees, noting the differences between his and Missy's sex-based relationship and Jason and Julie's long-lasting friendship.
Shortly before Julie's next birthday, after dropping 2-1/2-year-old Joe off at Julie's house after a day out, Jason presents her with a present: a photo scrapbook of the couple, and then the three of them (that he'd made for her birthday prior, but she never received due to their abrupt parting), consistent with Julie's prior statement that Jason and Joe were her family. They reminisce over several of the photos and then put Joe to bed, after Jason says a few things about 'staying the night' (as Joe wants him to). Jason's emotional shift and words make Julie emotional and uncomfortable, so she sends Jason home. He leaves, but quickly returns, and tells her what he said to her a year ago was all wrong. He finally realized it—she is the love of his life, she is his 'person', ""and that's just the way it is"". She tells him she can't be with someone who isn't 'into' her, and he, after a passionate kiss, offers to have sex with her to prove he is into her, in every possible way. She accepts his offer, passionately kisses him back, and they tumble onto her bed."
3,"Following an argument with a work superior, furniture designer Jim Fletcher quits his job in a fit of pique. He decides that England has nothing to offer him and the future for his family is in Australia. He eagerly sets about making emigration plans, and despite the fact that his wife and family are less than enthusiastic about moving to the other side of the world, he disregards their reservations and presses ahead. Practical and bureaucratic hitches continually threaten to derail the project. Jim must also deal with the opposition of his in-laws, finds himself missing his job, and starts to have doubts himself about the wisdom of the move. However the snags and pitfalls are finally sorted out and a firm departure date is set. Then two days before they are due to leave, the Fletchers' daughter meets, and instantly falls in love with, her ideal man after he rescues the family cat, Heathcliff. A good deal of heart-searching ensues before the Fletchers decide whether or not to go ahead with emigration during a delay caused by a missing Heathcliffe."
4,"Sylvia Brenner (Constance Bennett) is a plain secretary sharing an apartment with two other girls, one of whom is her friend Annie (ZaSu Pitts). Her economic condition is meager, but she makes do with what she has. She works for a womanizing divorce attorney, Gaylord Stanton (Kenneth MacKenna), who only dates married women; he has no intention of ever getting married and sees wives as safe, since they already have husbands. But Sylvia is secretly in love with Gaylord. When the woman he is fooling around with, Grace Lawrence (Rita La Roy), decides to leave her husband in order to marry Gaylord, he panics. In order to avoid having to deal with the matrimonial pursuits of any of his potential dalliances, he offers a business proposal to Sylvia whereby he will provide her with financial remuneration if she will marry him in name only. She agrees.
After the sham wedding, Sylvia is sent off to Paris by Gaylord, to get her out of the way so he can continue his nightly debauchery. In Paris, she uses her money to do a serious makeover of herself. While there, she also meets her boss's old friend, Reggie Durant (Basil Rathbone), who falls in love with her. Reggie is a sophisticated European, who introduces Sylvia to the enticements of the European lifestyle, to which she is attracted. When Reggie asks Sylvia to divorce Gaylord so that she can marry him, she is tempted, but confused, and returns home. Returning to the States, everyone takes notice of the transformed Sylvia.
Although there is a brief hiccup, as Grace puts forth a full-court offensive to win over Gaylord, Gaylord and Sylvia end up realizing that they are in love with each other."
5,"B.J. Hammer is a boxer who rises up the ranks with help from the Mafia. However, Hammer doesn't realize that the help comes with a price: He is asked to throw a fight. Gangsters threaten to harm his girlfriend in an attempt to force him to go through with their plan. Hammer is forced to figure out a way to save his dignity and the life of his girlfriend, who has been kidnapped by gangsters."
6,"The film opens in the Rocky Mountains on the Colorado ranch of Dr. Hunter S. Thompson, a journalist furiously trying to finish a story about his former attorney and friend, Carl Lazlo, Esq. Thompson then flashes back to a series of exploits involving the author and his attorney.
In 1968, Lazlo is fighting to stop a group of San Francisco youngsters from receiving harsh prison sentences for possession of marijuana. He convinces Thompson to write an article about it for Blast Magazine. Thompson's editor, Marty Lewis, reminds Thompson that he has 19 hours to deadline. The judge hands out stiff sentences to everyone, and the last client is a young man who was caught with a pound of marijuana and receives a five-year sentence. Lazlo reacts by attacking the prosecuting attorney and is then jailed for contempt of court.
The magazine story about the trial is a sensation, but Thompson does not hear from Lazlo until four years later, when Thompson is on assignment covering Super Bowl VI in Los Angeles.[2] Lazlo appears at Thompson's hotel and convinces him to abandon the Super Bowl story and join his band of freedom fighters, which involves smuggling weapons to an unnamed Latin American country. Thompson goes along with Lazlo and the revolutionaries to a remote airstrip where a small airplane is to be loaded with weapons, but when a police helicopter finds them, Lazlo and his henchmen escape on the plane while Thompson refuses to follow.
Thompson's fame and fortune continues. He is a hit on the college lecture circuit and covers the 1972 presidential election campaign. After being thrown off the journalist plane by The Candidate's press secretary, Thompson takes the crew plane and gives straight-laced journalist Harris from the Post a strong hallucinogenic drug and steals his clothes and press credentials. At the next campaign stop, in the airport bathroom, Thompson is able to use his disguise to engage The Candidate in a conversation about the ""Screwheads"" and the ""Doomed"".
Thompson, still posing as Harris, returns to the journalist plane. Lazlo then appears, striding across the airport tarmac in a white suit. He boards the plane and tries to convince his old friend to join his socialist paradise somewhere in the desert. After causing a disturbance, Thompson and Lazlo are thrown off the plane and Lazlo's papers that describe the community are blown across the airport runway. Lazlo, presumably, is not heard from again.
The action then returns to Thompson's cabin, just as the writer puts the finishing touches on his story, explaining that he didn't go along with Lazlo--or Nixon--because ""it still hasn't gotten weird enough for me."""
7,"David Kolowitz (Santoni) works as a delivery boy and assistant for a machine shop in New York City in 1938, and is fascinated with the movies.
Despite the misgivings of his girlfriend Wanda (Margolin), his parents (Winters and David Opatoshu) and his employer (Gilford), David follows the suggestion of a friend (Michael J. Pollard) and becomes involved with an off-Broadway theater company run by Harrison B. Marlowe (Ferrer). He admires Ronald Colman so he uses the stage name ""Donald Colman"".
It is a margin operation that requires him to pay $5 a week for ""tuition"". Marlowe's daughter (May) takes a romantic interest in David, who perseveres despite a lack of acting talent and the hostility of Marlowe.
Overcoming all the difficulties, he makes his acting debut and his parents and girlfriend accept his new interest."
8,"Wealthy Texan Big Enos Burdette and his son Little Enos seek a truck driver willing to bootleg Coors beer to Georgia for their refreshment. At the time, Coors was regarded as one of the finest beers in the United States,[3] but it could not be legally sold east of the Mississippi River. Truck drivers who had taken the bet previously had been caught and arrested by ""Smokey"" (CB slang for highway patrol officers, referring to the Smokey Bear–type hats worn in some states).
The Burdettes find legendary trucker Bo ""Bandit"" Darville competing in a truck rodeo at Lakewood Fairgrounds in Atlanta; they offer him $80,000 to haul 400 cases of Coors beer from Texarkana, Texas back to Atlanta in 28 hours; Big Enos has sponsored a driver running in the Southern Classic stockcar race and ""when he wins I want to celebrate in style."" Bandit accepts the bet and recruits his partner Cledus ""Snowman"" Snow to drive the truck, while Bandit drives the ""blocker"", a black Pontiac Trans Am bought on an advance from the Burdettes, to divert attention away from the truck and its illegal cargo.
The trip to Texas is mostly uneventful except for at least one pursuing Arkansas State Trooper whom Bandit evades with ease. They reach Texarkana an hour ahead of schedule, load their truck with the beer and head back toward Atlanta. Immediately upon starting the second leg of the run, Bandit picks up runaway bride Carrie, whom he eventually nicknames ""Frog"" because she is ""kinda cute like a frog"" and ""always hoppin' around"". But in so doing, Bandit makes himself a target of Texas Sheriff Buford T. Justice, a career lawman whose handsome but slow-witted son Junior was to have been Carrie's bridegroom. Ignoring his own jurisdiction, Sheriff Justice, with Junior in tow, chases Bandit all the way to Georgia, even as various mishaps cause his cruiser to disintegrate around them.
The remainder of the film is one lengthy high-speed chase, as Bandit's antics attract more and more attention from local and state police across Dixie while Snowman barrels on toward Atlanta with the contraband beer. Bandit and Snowman are helped along the way via CB radio by many colorful characters, including an undertaker with his hearse driver and their funeral procession, an elderly lady, a drive-in waitress and all her customers, a convoy of trucks, and even a madam who runs a brothel out of her RV. Neither Sheriff Justice nor any other police officers have any knowledge of Snowman's illegal manifest.
The chase intensifies as Bandit and Snowman get closer to Atlanta; moments after crossing back into Georgia, Bandit comes to the rescue when Snowman is pulled over by a Georgia State Patrol motorcycle patrolman, and state and local police step up their pursuit with more cruisers, larger roadblocks, and even a police helicopter to track Bandit's movements. Discouraged by the unexpected mounting attention, and with just four miles left to go, Bandit is about to give up, but Snowman refuses to listen and takes the lead, smashing through the police roadblock at the entrance to the fairgrounds. They arrive back at Lakewood Speedway (while the Southern Classic race is being run) with only 10 minutes to spare, but instead of taking the payoff, Frog and Bandit accept a double-or-nothing offer from Little Enos — a challenge to run up to Boston and bring back clam chowder in 18 hours. They quickly escape in one of Big Enos' Cadillac convertibles, passing Sheriff Justice's badly damaged police car by the side of the road. Bandit first directs Sheriff Justice to Big and Little Enos, but then in a gesture of respect, reveals his true location and invites Justice to give chase, leaving Junior behind."
9,"Arthur Bach (Dudley Moore) is still rich and still drinks too much, but he and Linda (Liza Minnelli) are now happily married. The one thing missing in their life is a child. Seeking revenge, billionaire Burt Johnson (Stephen Elliott), the father of Susan Johnson (Cynthia Sikes), the wealthy woman whom he jilted at the altar, takes control of his inheritance, leaving him broke and homeless. Susan wants him back and is willing to break up his marriage if that's what it takes.
Arthur tries to sober up to rise up to the occasion and find a job, knowing his financial plight could ruin any chance he and Linda have of adopting a baby. She assures a representative from the adoption agency that, despite his drinking, he would make a good father. Through an elaborate scheme, he plots to get even with the Johnsons and get his money back. In the end, he not only is able to get his money back and adopt a child, but Linda discovers she's pregnant."
